isbn,bookname,author,publisher,image,price,category
45,새나곰의 똥손도 바로 시작하는 인스타툰 그리기 with 클립 스튜디오 - 인스타툰 채널을 키우고 수익화하는 실전 노하우부터 완성이 빨라지는 클립 스튜디오 활용 꿀팁까지!,새나곰(정은아) (지은이),한빛미디어,https://image.aladin.co.kr/product/38831/35/cover200/k082137283_1.jpg,20700,그래픽 일반
46,"AI 시대의 질문력, 프롬프트 엔지니어링",류한석 (지은이),코리아닷컴(Korea.com),https://image.aladin.co.kr/product/36945/80/cover200/k972030516_2.jpg,24300,인공지능
47,"혼자 공부하는 머신러닝 + 딥러닝 - 케라스와 파이토치로 1:1 과외하듯 배우는 인공지능 자습서, 별책 용어노트, 저자 직강 유튜브 강의 제공",박해선 (지은이),한빛미디어,https://image.aladin.co.kr/product/36114/6/cover200/k862038063_2.jpg,28800,인공지능
48,"이게 되네? AI 쇼츠 만들기 미친 자동화 22제 [동영상 강의 제공 / 프롬프트 복붙 사이트 제공 / 카카오톡 Q&A 제공] - 인공지능으로 쇼츠와 릴스를 자동 제작한다! 콘텐츠 수집부터 스크립트 작성, 영상 제작,
유튜브와 인스타그램 자동 업로드까지 코딩 모르는 초보자도 숏폼으로 수익 창출하는 법",천은영 (지은이),골든래빗(주),https://image.aladin.co.kr/product/38150/29/cover200/k642034300_1.jpg,23400,인공지능
49,[단한권] 윤성우의 열혈 C 프로그래밍 - 개정판,윤성우 (지은이),오렌지미디어,https://image.aladin.co.kr/product/38165/25/cover200/8996094056_1.jpg,25000,C
50,"대체불가능 - 인공지능 시대, 기계가 넘볼 수 없는 독보적 인간이 되는 법","파스칼 보넷 (지은이), 김정민 (옮긴이)",제이펍,https://image.aladin.co.kr/product/38553/95/cover200/k182135853_1.jpg,19800,인공지능
51,엑셀로 하는 데이터 분석,"장은실, 오경선, 양숙희 (지은이)",생능,https://image.aladin.co.kr/product/26552/17/cover200/8970504818_1.jpg,24000,자료구조/알고리즘
52,안티그래비티 바이브 코딩 입문 - 10일간의 탄탄한 기능 구현과 4일 만에 마스터하는 프로의 기획과 설계 전략,박규하 (지은이),로드북,https://image.aladin.co.kr/product/38723/17/cover200/k812136744_1.jpg,22500,프로그래밍 기초/개발 방법론
53,"Effective Python 이펙티브 파이썬 3판 - 더 명확하고, 더 안전하고, 더 파이썬다운 코드를 작성하는 실전 가이드 125","브렛 슬라킨 (지은이), 오현석 (옮긴이)",길벗,https://image.aladin.co.kr/product/38714/29/cover200/k782136631_1.jpg,37800,파이썬
54,"교실로 ON 제미나이 - 현장에서 바로 쓰는 인공지능 50가지 활용 가이드 바이브코딩, 라이브, 가이드학습, 스토리북, Gems, Opal, NotebookLM, 나노바나나, Vids, Veo, 구글 도구, 유튜브까지 한 권에","박찬, 김병석, 전수연, 구현희, 김지용, 전채원, 홍찬우, 임채원 (지은이)",다빈치books,https://image.aladin.co.kr/product/38585/81/cover200/k092135352_1.jpg,19800,교육 일반
55,"A2A×MCP 멀티 에이전트 오케스트레이션 실전 - 현직 AI Specialist에게 배우는 A2A! A2A x MCP 시스템을 설계, 구축, 운영하며 멀티 에이전트의 기본을 경험한다!",서지영 (지은이),길벗,https://image.aladin.co.kr/product/38808/8/cover200/k802137981_1.jpg,29700,인공지능
56,"클로드 코워크 with 스킬, 플러그인 - 퇴근을 앞당기는 완벽한 업무 자동화","클리커, 강민혁 (지은이)",한빛미디어,https://image.aladin.co.kr/product/38878/97/cover200/k442137203_1.jpg,23400,인공지능
57,"진짜 쓰는 프리미어 프로 영상 편집 - 유튜브 및 SNS 콘텐츠 제작을 위한 동영상 편집 실무 강의, 포토샵 + 애프터 이펙트 연동 부록 PDF 제공, 2025 최신개정판",조블리(조애리) (지은이),제이펍,https://image.aladin.co.kr/product/35861/26/cover200/k832037573_1.jpg,23400,프리미어/베가스
58,된다! 조회수 터지는 유튜브 쇼츠 만들기 - 구독자 없어도 알고리즘 탄다! AI로 영상 빠르게 만들어 수익화까지!,최지영 (지은이),이지스퍼블리싱,https://image.aladin.co.kr/product/36101/24/cover200/k232038068_1.jpg,19800,스마트폰/태블릿
59,"AI 엔지니어링 - 파운데이션 모델을 활용한 시스템 설계부터 개선까지, AI 앱 개발 원스톱 가이드","칩 후옌 (지은이), 변성윤 (옮긴이)",한빛미디어,https://image.aladin.co.kr/product/37309/79/cover200/k622031756_1.jpg,36000,인공지능
60,AI는 인간을 먹고 자란다 - 인공지능 신화에 가려진 보이지 않는 노동자들,"마크 그레이엄, 제임스 멀둔, 캘럼 캔트 (지은이), 김두완 (옮긴이)",흐름출판,https://image.aladin.co.kr/product/36415/87/cover200/8965967147_1.jpg,21600,노동문제
61,친절한 빛과 색,박리노 (지은이),아이생각(디지털북스),https://image.aladin.co.kr/product/25968/6/cover200/8960883670_1.jpg,18000,그래픽 일반
62,"밑바닥부터 시작하는 딥러닝 1 - 파이썬으로 익히는 딥러닝 이론과 구현, 리마스터판","사이토 고키 (지은이), 개앞맵시(이복연) (옮긴이)",한빛미디어,https://image.aladin.co.kr/product/35639/92/cover200/k222036504_1.jpg,23400,데이터베이스 개론
63,"광고, UX/UI, 브랜딩에 바로 쓰는 디자인 심리 108 - 기획, 마케팅, 디자인 실무자가 꼭 알아야 할 고객의 마음 공식","321web(미쓰이 마사유키) (지은이), 김현미 (옮긴이)",시프트,https://image.aladin.co.kr/product/38403/46/cover200/k012135187_1.jpg,16200,그래픽 일반
64,"AI 프로젝트 100% 성공을 위한 체크리스트 17 - 비즈니스 성장을 위한 AI 프로덕트의 기획부터 설계, 성능 평가까지 단계별 전략","유진호 (지은이), 정진호 (그림)",책만,https://image.aladin.co.kr/product/38458/2/cover200/k162135717_1.jpg,25200,인공지능
65,"출근길에 읽고 퇴근길에 완성하는 바이브 코딩 - IT 지식부터 웹사이트, 챗봇 앱 개발까지",노승헌 (지은이),더 타이즈,https://image.aladin.co.kr/product/38461/26/cover200/8966265189_1.jpg,19800,인공지능
66,인공지능이 답할 때 교육은 무엇을 묻는가 - AI가 채우지 못한 교육의 영토,함영기 (지은이),에듀니티교육연구소,https://image.aladin.co.kr/product/38361/35/cover200/k852135362_1.jpg,18000,교육 일반
67,"제미나이 교사 마스터 플랜 - 2026년 최신판, 구글공인트레이너 교사의 AI 수업_나노 바나나, 노트북LM, 구글 AI 스튜디오, 캔바 코드, 바이브 코딩, 앱스 스크립트",한민철 (지은이),책바세,https://image.aladin.co.kr/product/38873/64/cover200/k822137101_1.jpg,27000,인공지능
